eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,count
201612150072,2017,1,2,,1,,4,Afghanistan,6,South Asia,Kandahar,Takhta Pul,31.320556,65.961111,1414
201701010012,2017,1,1,,0,,4,Afghanistan,6,South Asia,Herat,Herat,34.346722,62.197315,1414
201701010015,2017,1,1,,0,,4,Afghanistan,6,South Asia,Helmand,Marjah,31.467463,64.092445,1414
201701010016,2017,1,1,,0,,4,Afghanistan,6,South Asia,Helmand,Sangin,32.071931,64.838837,1414
201701010018,2017,1,1,,1,,4,Afghanistan,6,South Asia,Herat,Chishti Sharif district,34.34013,63.75288,1414
201701010019,2017,1,1,,0,,4,Afghanistan,6,South Asia,Logar,Charkh,33.79821,68.93483,1414
201701020001,2017,1,1,,0,,4,Afghanistan,6,South Asia,Ghazni,Ghazni,33.542622,68.415329,1414
201701020007,2017,1,2,,0,,4,Afghanistan,6,South Asia,Logar,Mohammad Agha district,34.214801,69.098513,1414
201701020031,2017,1,2,,0,,4,Afghanistan,6,South Asia,Kapisa,Nijrab district,34.966667,69.566667,1414
201701020073,2017,1,2,,0,,4,Afghanistan,6,South Asia,Herat,Koshki Kohna district,34.87048,62.50668,1414
201701020074,2017,1,2,,0,,4,Afghanistan,6,South Asia,Zabul,Shahjoy district,32.519241,67.416481,1414
201701030040,2017,1,3,,0,,4,Afghanistan,6,South Asia,Balkh,Qadim,36.370146,66.891581,1414
201701030041,2017,1,3,,0,,4,Afghanistan,6,South Asia,Kandahar,Arghandab district,31.65,65.65,1414
201701030042,2017,1,3,2017-01-03 00:00:00,0,,4,Afghanistan,6,South Asia,Kandahar,Kandahar,31.631083,65.742226,1414
201701030043,2017,1,3,,0,,4,Afghanistan,6,South Asia,Herat,Shindand district,33.306127,62.156823,1414
201701040003,2017,1,3,,0,,4,Afghanistan,6,South Asia,Badakhshan,Faizabad district,37.101709,70.555236,1414
201701040004,2017,1,2,,0,,4,Afghanistan,6,South Asia,Helmand,Bolan,31.589827,64.337952,1414
201701040005,2017,1,3,,0,,4,Afghanistan,6,South Asia,Takhar,Ishkamish district,36.420649,69.35927,1414
201701040019,2017,1,4,,0,,4,Afghanistan,6,South Asia,Ghazni,Habib,33.326099,68.416649,1414
201701040020,2017,1,4,,0,,4,Afghanistan,6,South Asia,Parwan,Charikar,35.018158,69.168991,1414
201701040039,2017,1,4,,0,,4,Afghanistan,6,South Asia,Ghazni,Ghazni,33.542622,68.415329,1414
201701050010,2017,1,2,2017-01-02 00:00:00,0,,4,Afghanistan,6,South Asia,Helmand,Nawa-i-Barakzayi district,31.429741,64.303745,1414
201701050012,2017,1,5,,0,,4,Afghanistan,6,South Asia,Faryab,Qaysar,35.687365,64.293428,1414
201701050013,2017,1,5,,0,,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,34.417122,70.449593,1414
201701050021,2017,1,5,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1414
201701050022,2017,1,5,,0,,4,Afghanistan,6,South Asia,Baghlan,Khwajah Khan,36.157001,68.720306,1414
201701050024,2017,1,5,,0,,4,Afghanistan,6,South Asia,Herat,Maldar,33.890556,62.406389,1414
201701050026,2017,1,5,,0,,4,Afghanistan,6,South Asia,Nimroz,Unknown,31.026149,62.450415,1414
201701060009,2017,1,6,,0,,4,Afghanistan,6,South Asia,Baghlan,Tala Wa Barfak district,35.392248,68.222884,1414
201701060036,2017,1,6,,0,,4,Afghanistan,6,South Asia,Nangarhar,Fatehabad,34.357222,70.238889,1414
201701070029,2017,1,7,,0,,4,Afghanistan,6,South Asia,Paktika,Urgun district,32.861513,69.126826,1414
201701070033,2017,1,7,2017-01-07 00:00:00,0,,4,Afghanistan,6,South Asia,Nimroz,Khash Rod district,31.662674,63.014758,1414
201701070034,2017,1,7,2017-01-07 00:00:00,0,,4,Afghanistan,6,South Asia,Nangarhar,Shamsha Pur,34.415278,70.278333,1414
201701080026,2017,1,8,,0,,4,Afghanistan,6,South Asia,Farah,Bakwa district,32.230825,62.920592,1414
201701080027,2017,1,8,,0,,4,Afghanistan,6,South Asia,Zabul,Argahandab district,32.401287,66.813451,1414
201701090017,2017,1,8,,0,,4,Afghanistan,6,South Asia,Badakhshan,Deh Bala,37.298889,70.563889,1414
201701090022,2017,1,9,,0,,4,Afghanistan,6,South Asia,Helmand,Gereshk,31.825871,64.576431,1414
201701090023,2017,1,9,,0,,4,Afghanistan,6,South Asia,Zabul,Shahr-e Safa district,31.802043,66.32434,1414
201701090028,2017,1,9,,0,,4,Afghanistan,6,South Asia,Jawzjan,Qush Tepa district,36.122909,65.42349,1414
201701100001,2017,1,10,,0,,4,Afghanistan,6,South Asia,Helmand,Lashkar Gah,31.60063,64.369652,1414
201701100002,2017,1,10,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1414
201701100003,2017,1,10,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1414
201701100004,2017,1,10,,0,,4,Afghanistan,6,South Asia,Kandahar,Kandahar,31.631083,65.742226,1414
201701100012,2017,1,10,,0,,4,Afghanistan,6,South Asia,Nangarhar,Sayd Ahmad Khel,34.140278,70.596111,1414
201701100013,2017,1,10,,0,,4,Afghanistan,6,South Asia,Nangarhar,Sayd Ahmad Khel,34.140278,70.596111,1414
201701100014,2017,1,10,,0,,4,Afghanistan,6,South Asia,Zabul,Argahandab district,32.401287,66.813451,1414
201701100015,2017,1,10,,0,,4,Afghanistan,6,South Asia,Farah,Kanisk,32.532429,62.325817,1414
201701110026,2017,1,11,,0,,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,34.417122,70.449593,1414
201701130001,2017,1,13,,0,,4,Afghanistan,6,South Asia,Nangarhar,Kot district,34.165506,70.621883,1414
201701130002,2017,1,13,,0,,4,Afghanistan,6,South Asia,Nangarhar,Banduk,34.121667,70.563889,1414
201701130003,2017,1,13,,0,,4,Afghanistan,6,South Asia,Nangarhar,Laghurji,34.108611,70.537778,1414
201701130004,2017,1,13,,0,,4,Afghanistan,6,South Asia,Nangarhar,Kot district,34.165506,70.621883,1414
201701130013,2017,1,13,,0,,4,Afghanistan,6,South Asia,Takhar,Rustaq district,37.141667,69.804444,1414
201701130014,2017,1,13,,0,,4,Afghanistan,6,South Asia,Faryab,Gordzad,36.183876,64.875046,1414
201701130015,2017,1,13,,0,,4,Afghanistan,6,South Asia,Faryab,Maymana,35.921051,64.774544,1414
201701130016,2017,1,13,,0,,4,Afghanistan,6,South Asia,Badakhshan,Tergaran,36.694386,71.145233,1414
201701130017,2017,1,13,,0,,4,Afghanistan,6,South Asia,Paktika,Sharana district,33.171683,68.785336,1414
201701130027,2017,1,13,,0,,4,Afghanistan,6,South Asia,Paktika,Barmal district,32.746111,69.297778,1414
201701140002,2017,1,14,,0,,4,Afghanistan,6,South Asia,Kunduz,Chabarmay,36.728591,68.868066,1414
201701140003,2017,1,14,,0,,4,Afghanistan,6,South Asia,Kunduz,Hortbalaqi,36.728591,68.868066,1414
201701150001,2017,1,15,,0,,4,Afghanistan,6,South Asia,Nangarhar,Kot district,34.165506,70.621883,1414
201701150002,2017,1,15,,1,,4,Afghanistan,6,South Asia,Nangarhar,Haskah Menah,34.115677,70.463646,1414
201701150003,2017,1,15,,0,,4,Afghanistan,6,South Asia,Nangarhar,Pachir Agam district,34.2,70.283333,1414
201701150004,2017,1,15,2017-01-15 00:00:00,0,,4,Afghanistan,6,South Asia,Khost,Sehra Bagh,33.336913,69.918208,1414
201701160005,2017,1,16,2017-01-16 00:00:00,0,,4,Afghanistan,6,South Asia,Jawzjan,Shayr Bayk,36.066322,65.375885,1414
201701160006,2017,1,16,2017-01-16 00:00:00,0,,4,Afghanistan,6,South Asia,Jawzjan,Qush Tepa district,36.122909,65.42349,1414
201701160007,2017,1,16,2017-01-16 00:00:00,0,,4,Afghanistan,6,South Asia,Jawzjan,Qush Tepa district,36.122909,65.42349,1414
201701160008,2017,1,16,,0,,4,Afghanistan,6,South Asia,Baghlan,Puli Khumri,35.947552,68.710327,1414
201701170004,2017,1,17,,0,,4,Afghanistan,6,South Asia,Nangarhar,Haskah Menah,34.115677,70.463646,1414
201701170005,2017,1,17,,0,,4,Afghanistan,6,South Asia,Laghman,Unknown,34.689769,70.14558,1414
201701180012,2017,1,18,,0,,4,Afghanistan,6,South Asia,Kandahar,Shalghamay,31.515436,65.17141,1414
201701180013,2017,1,18,,0,,4,Afghanistan,6,South Asia,Kandahar,Kandahar,31.631083,65.742226,1414
201701180031,2017,1,18,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1414
201701190025,2017,1,19,,1,,4,Afghanistan,6,South Asia,Parwan,Qala Sehra,35.100278,69.22,1414
201701190039,2017,1,19,2017-01-19 00:00:00,0,,4,Afghanistan,6,South Asia,Herat,Herat,34.346722,62.197315,1414
201701200005,2017,1,20,,0,,4,Afghanistan,6,South Asia,Kandahar,Maywand,31.619314,65.050156,1414
201701200006,2017,1,20,,0,,4,Afghanistan,6,South Asia,Kandahar,Maywand,31.619314,65.050156,1414
201701200009,2017,1,20,,0,,4,Afghanistan,6,South Asia,Balkh,Khwajah Baran,36.7025,67.741944,1414
201701200030,2017,1,20,,0,,4,Afghanistan,6,South Asia,Sari Pul,Sozma Qala district,36.099845,66.207712,1414
201701200040,2017,1,20,,0,,4,Afghanistan,6,South Asia,Faryab,Qasbah Qala,36.034444,64.557778,1414
201701200041,2017,1,20,,0,,4,Afghanistan,6,South Asia,Faryab,Pashtun Kot district,35.598206,64.763659,1414
201701200042,2017,1,20,,0,,4,Afghanistan,6,South Asia,Jawzjan,Jar Quduq,36.303825,65.482079,1414
